title,genres,type,developer,publisher,user_rating,metacritic_score
Worms Crazy Golf,"Action, Strategy, Sports, Arcade, Casual, Puzzle","Singleplayer, Multiplayer, Local Multiplayer",Team17 Digital,Team17 Digital,2.64,73
Hack 'n' Slash,"Adventure, Casual, Indie, Puzzle",Singleplayer,Double Fine Productions,Double Fine Productions,2.78,73
Always Sometimes Monsters,"Adventure, RPG, Indie",Singleplayer,"Devolver Digital, Vagabond Dog","Devolver Digital, GHI Media",2.55,73
Caller's Bane,Card,"Singleplayer, Multiplayer",Mojang,Mojang,0.0,73
Dungeon Hearts,"RPG, Strategy, Casual, Indie, Puzzle",Singleplayer,"Devolver Digital, Cube Roots","Devolver Digital, GHI Media",2.57,73
Super Splatters,"Action, Casual, Indie",Singleplayer,SpikySnail,SpikySnail,2.47,73
Hyrule Warriors,"Action, Arcade",,Koei Tecmo,Nintendo,3.74,73
Hawken,"Action, Shooter","Singleplayer, Multiplayer, Online multiplayer","505 Games, Reloaded Games, Hawken Entertainment","505 Games, Reloaded Games",2.83,73
Worms Clan Wars,Strategy,"Singleplayer, Multiplayer",Team17 Digital,Team17 Digital,3.0,73
MirrorMoon EP,"Adventure, Indie","Singleplayer, Cross-Platform Multiplayer",Santa Ragione,Santa Ragione,2.57,73
Divekick,"Action, Fighting, Indie","Singleplayer, Multiplayer, Local Multiplayer",Iron Galaxy Studios,Iron Galaxy Studios,3.33,73
Batman: Arkham City - Harley Quinn's Revenge,Action,,Rocksteady Studios,Warner Bros. Interactive,3.39,73
Worms Revolution,"Strategy, Simulation","Singleplayer, Multiplayer, Local Multiplayer, 4 Player Local",Team17 Digital,Team17 Digital,3.58,73
RUSH,"Action, Strategy, Simulation, Sports, Racing, Arcade, Casual, Indie","Singleplayer, Multiplayer, Online multiplayer, Cross-Platform Multiplayer","Two Tribes, Ketchapp, The Binary Mill, rush","Two Tribes Publishing, Ketchapp, The Binary Mill, rush",2.59,73
Hard Reset Extended Edition,"Action, Indie",Singleplayer,Flying Wild Hog,"Good Shepherd Entertainment, Gambitious Digital Entertainment",3.19,73
King's Bounty: Dark Side,"Adventure, RPG, Strategy",Singleplayer,1C-SoftClub,1C Company,3.45,73
Beyond: Two Souls,"Action, Adventure","Singleplayer, Multiplayer",Quantic Dream,"Sony Computer Entertainment, Quantic Dream",3.8,73
Ar nosurge: Ode to an Unborn Star,RPG,,Gust,"Koei Tecmo Games, Koei Tecmo",0.0,72
Major League Baseball 2K11,Sports,Multiplayer,Visual Concepts,2K Sports,0.0,72
Blocks That Matter,"Action, Casual, Indie, Puzzle, Platformer",Singleplayer,Swing Swing Submarine,Swing Swing Submarine,2.84,72
MouseCraft,"Action, Adventure, Strategy, Casual, Indie, Puzzle",Singleplayer,"Curve Digital, Crunching Koalas",Crunching Koalas,2.31,72
FIFA Manager 12,"Strategy, Sports",,Bright Future,Electronic Arts,0.0,72
Skulls of the Shogun,"Action, Strategy, Indie","Singleplayer, Multiplayer, Local Multiplayer, Cross-Platform Multiplayer",17-BIT,"Microsoft Studios, 17-BIT",2.82,72
The Last Tinker: City of Colors,"Action, Adventure, Indie",Singleplayer,"Daedalic Entertainment, Mimimi Productions, LOOT™ Interactive",Daedalic Entertainment,2.73,72
Blade Symphony,"Fighting, Indie",Multiplayer,Puny Human,Puny Human,2.87,72
RIDGE RACER Unbounded,"Action, Racing",Singleplayer,"BANDAI NAMCO Entertainment America, Bugbear Entertainment, Bugbear","Bandai Namco Entertainment, BANDAI NAMCO Entertainment US",3.03,72
The LEGO Movie - Videogame,"Action, Adventure, Family","Singleplayer, Multiplayer","Feral Interactive, Warner Bros. Interactive, Traveller's Tales, TT Fusion",Warner Bros. Interactive,3.57,72
Primordia,"Adventure, RPG, Indie",Singleplayer,"Wadjet Eye Games, Wormwood Studios, Wormwood",Wadjet Eye Games,3.92,72
The Incredible Adventures of Van Helsing,"Action, RPG, Indie","Singleplayer, Multiplayer, Cross-Platform Multiplayer",,NeocoreGames,3.41,72
Serious Sam 3: BFE,"Action, Shooter, Indie","Singleplayer, Multiplayer, Local Multiplayer, Cross-Platform Multiplayer","Devolver Digital, Croteam","Devolver Digital, Mastertronic Group",3.46,72
Medal of Honor,Shooter,"Singleplayer, Multiplayer","Electronic Arts DICE, Danger Close Games",Electronic Arts,3.28,72
Cloudbuilt,"Action, Indie",Singleplayer,Coilworks,Rising Star Games,3.09,72
Qbeh-1: The Atlas Cube,"Adventure, Casual, Indie",Singleplayer,Liquid Flower,Digital Tribe,3.14,72
SPACE HULK ASCENSION,"RPG, Strategy",Singleplayer,"Hoplite Research, Full Control Studios",Full Control,2.8,72
Gateways,"Action, Indie, Puzzle, Platformer",Singleplayer,Smudged Cat Games,Smudged Cat Games,2.86,72
Dungeons - The Dark Lord,"RPG, Strategy, Simulation","Singleplayer, Multiplayer",Realmforge Studios,Kalypso Media,2.6,72
RACE Injection,Racing,"Singleplayer, Multiplayer",SimBin Studios,"Libredia, SimBin, RaceRoom Entertainment",3.2,72
Loadout,"Action, Indie",Multiplayer,Edge of Reality,Edge of Reality,2.47,72
Shank 2,"Action, Adventure, Arcade, Indie",Singleplayer,Klei Entertainment,Electronic Arts,3.57,72
Blood II: The Chosen + Expansion,"Action, Adventure",Singleplayer,Monolith Productions,Atari,3.17,72
A New Beginning - Final Cut,"Action, Adventure, Indie",Singleplayer,Daedalic Entertainment,"Daedalic Entertainment, Lace Mamba Global",3.17,72
Giant Boulder of Death,"Action, Arcade, Casual",,"[adult swim], [adult swim] games",Turner Broadcasting System,0.0,72
Heavy Bullets,"Shooter, Indie",Singleplayer,Terri Vellmann,Devolver Digital,3.52,72
Earth Defense Force 2: Invaders from Planet Space,"Action, Shooter, Arcade",,"XSEED Games, Sandlot Games",XSEED Games,0.0,72
Broken Sword 5 - The Serpent's Curse: Episode II,Adventure,,Revolution Software,Revolution Software,0.0,72
WAY OF THE SAMURAI 4,"Action, Adventure",Singleplayer,"XSEED Games, Acquire",Ghostlight,3.86,72
PixelJunk Monsters Ultimate,Strategy,"Singleplayer, Multiplayer, Cross-Platform Multiplayer",Double Eleven,Double Eleven,2.78,72
Aarklash: Legacy,"Action, Adventure, RPG, Strategy",Singleplayer,Cyanide Studio,"Cyanide, Cyanide Studios",3.08,72
Solar 2,"Action, Simulation, Casual, Indie",Singleplayer,"Jay Watts, Murudai","Jay Watts, Murudai",3.15,72
"Batman: Arkham Origins - Cold, Cold Heart","Action, Adventure",,Warner Bros. Interactive,Warner Bros. Interactive,3.72,72
Alpha Protocol,"Action, Shooter, RPG",Singleplayer,Obsidian Entertainment,SEGA,3.54,72
DC Universe Online,"Action, Adventure, RPG, Massively Multiplayer",Multiplayer,Daybreak Games Company,Daybreak Game Company,2.98,72
ANARCHY REIGNS,"Action, Fighting",Multiplayer,Platinum Games,SEGA,3.29,72
Castlevania: Lords of Shadow - Mirror of Fate,"Action, Adventure, Platformer",Singleplayer,"Konami Digital Entertainment, Mercury Steam Entertainment","Konami, Konami Digital Entertainment-US",3.72,72
Full Bore,"Adventure, Casual, Indie",Singleplayer,Whole Hog Games,Nkidu Games,0.0,72
10 Second Ninja,"Action, Indie",Singleplayer,Four Circle Interactive,Mastertronic,2.62,72
